calibration_id,question_id,answer_quality,answer_text,score,score_rationale,key_indicators,key_points,missing_elements,rubric_id,domain,primary_skill
CAL000047,Q00016,Average,"I can migrate it basically using AWS, but I might struggle with while maintaining backward compatibility.",6,"Score 6/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,AWS
CAL000048,Q00016,Strong,"I have deep expertise with AWS. I would migrate an offline-first mobile app backing service by implementing X and Y, easily handling while maintaining backward compatibility through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,AWS
CAL000049,Q00017,Poor,I do not know how to refactor a latency-sensitive trading platform using API Design.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,API Design
CAL000050,Q00017,Average,"I can refactor it basically using API Design, but I might struggle with while ensuring 99.99% uptime.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,API Design
CAL000051,Q00017,Strong,"I have deep expertise with API Design. I would refactor a latency-sensitive trading platform by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,API Design
CAL000052,Q00018,Poor,I do not know how to optimize a latency-sensitive trading platform using Scalability.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Scalability
CAL000053,Q00018,Average,"I can optimize it basically using Scalability, but I might struggle with with a hard deadline of two weeks.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Scalability
CAL000054,Q00018,Strong,"I have deep expertise with Scalability. I would optimize a latency-sensitive trading platform by implementing X and Y, easily handling with a hard deadline of two weeks through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Scalability
CAL000055,Q00019,Poor,I do not know how to debug a high-traffic web application using Security.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Security
CAL000056,Q00019,Average,"I can debug it basically using Security, but I might struggle with under strict memory constraints.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Security
CAL000057,Q00019,Strong,"I have deep expertise with Security. I would debug a high-traffic web application by implementing X and Y, easily handling under strict memory constraints through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Security
CAL000058,Q00020,Poor,I do not know how to secure a realtime data pipeline using Database Design.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Database Design
CAL000059,Q00020,Average,"I can secure it basically using Database Design, but I might struggle with during a major compliance audit.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Database Design
CAL000060,Q00020,Strong,"I have deep expertise with Database Design. I would secure a realtime data pipeline by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Database Design
CAL000061,Q00021,Poor,I do not know how to migrate a realtime data pipeline using Microservices.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Microservices
CAL000062,Q00021,Average,"I can migrate it basically using Microservices, but I might struggle with with limited budget for cloud resources.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Microservices
CAL000063,Q00021,Strong,"I have deep expertise with Microservices. I would migrate a realtime data pipeline by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Microservices
CAL000064,Q00022,Poor,I do not know how to scale a distributed microservices architecture using React.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,React
CAL000065,Q00022,Average,"I can scale it basically using React, but I might struggle with with limited budget for cloud resources.",6,"Score 6/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,React
CAL000066,Q00022,Strong,"I have deep expertise with React. I would scale a distributed microservices architecture by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,React
CAL000067,Q00023,Poor,I do not know how to secure an offline-first mobile app backing service using Communication.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Communication
CAL000068,Q00023,Average,"I can secure it basically using Communication, but I might struggle with under strict memory constraints.",6,"Score 6/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Communication
CAL000069,Q00023,Strong,"I have deep expertise with Communication. I would secure an offline-first mobile app backing service by implementing X and Y, easily handling under strict memory constraints through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Communication
CAL000070,Q00024,Poor,I do not know how to design a distributed microservices architecture using Microservices.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Microservices
CAL000071,Q00024,Average,"I can design it basically using Microservices, but I might struggle with with a globally distributed team.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Microservices
CAL000072,Q00024,Strong,"I have deep expertise with Microservices. I would design a distributed microservices architecture by implementing X and Y, easily handling with a globally distributed team through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Microservices
CAL000073,Q00025,Poor,I do not know how to optimize a distributed microservices architecture using Security.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Security
CAL000074,Q00025,Average,"I can optimize it basically using Security, but I might struggle with during a major compliance audit.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Security
CAL000075,Q00025,Strong,"I have deep expertise with Security. I would optimize a distributed microservices architecture by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Security
CAL000076,Q00026,Poor,I do not know how to scale a resource-constrained IoT ecosystem using Adaptability.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Adaptability
CAL000077,Q00026,Average,"I can scale it basically using Adaptability, but I might struggle with with zero downtime.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Adaptability
CAL000078,Q00026,Strong,"I have deep expertise with Adaptability. I would scale a resource-constrained IoT ecosystem by implementing X and Y, easily handling with zero downtime through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Adaptability
CAL000079,Q00027,Poor,I do not know how to design a distributed microservices architecture using E-commerce.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Domain Knowledge,E-commerce
CAL000080,Q00027,Average,"I can design it basically using E-commerce, but I might struggle with with zero downtime.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Domain Knowledge,E-commerce
CAL000081,Q00027,Strong,"I have deep expertise with E-commerce. I would design a distributed microservices architecture by implementing X and Y, easily handling with zero downtime through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Domain Knowledge,E-commerce
CAL000082,Q00028,Poor,I do not know how to implement a highly secure payment gateway using EdTech.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Domain Knowledge,EdTech
CAL000083,Q00028,Average,"I can implement it basically using EdTech, but I might struggle with with limited budget for cloud resources.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Domain Knowledge,EdTech
CAL000084,Q00028,Strong,"I have deep expertise with EdTech. I would implement a highly secure payment gateway by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Domain Knowledge,EdTech
CAL000085,Q00029,Poor,I do not know how to troubleshoot a resource-constrained IoT ecosystem using Leadership.,3,"Score 3/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Leadership
CAL000086,Q00029,Average,"I can troubleshoot it basically using Leadership, but I might struggle with while ensuring 99.99% uptime.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Leadership
CAL000087,Q00029,Strong,"I have deep expertise with Leadership. I would troubleshoot a resource-constrained IoT ecosystem by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Leadership
CAL000088,Q00030,Poor,I do not know how to secure a legacy monolithic system using Database Design.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Database Design
CAL000089,Q00030,Average,"I can secure it basically using Database Design, but I might struggle with while ensuring 99.99% uptime.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Database Design
CAL000090,Q00030,Strong,"I have deep expertise with Database Design. I would secure a legacy monolithic system by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Database Design
CAL000091,Q00031,Poor,I do not know how to migrate a high-traffic web application using Communication.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Communication
CAL000092,Q00031,Average,"I can migrate it basically using Communication, but I might struggle with during a major compliance audit.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Communication
CAL000093,Q00031,Strong,"I have deep expertise with Communication. I would migrate a high-traffic web application by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Communication
CAL000094,Q00032,Poor,I do not know how to troubleshoot a realtime data pipeline using API Design.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,API Design
CAL000095,Q00032,Average,"I can troubleshoot it basically using API Design, but I might struggle with with zero downtime.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,API Design
CAL000096,Q00032,Strong,"I have deep expertise with API Design. I would troubleshoot a realtime data pipeline by implementing X and Y, easily handling with zero downtime through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,API Design
CAL000097,Q00033,Poor,I do not know how to troubleshoot a latency-sensitive trading platform using JavaScript.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,JavaScript
CAL000098,Q00033,Average,"I can troubleshoot it basically using JavaScript, but I might struggle with during a major compliance audit.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,JavaScript
CAL000099,Q00033,Strong,"I have deep expertise with JavaScript. I would troubleshoot a latency-sensitive trading platform by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",9,"Score 9/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,JavaScript
CAL000100,Q00034,Poor,I do not know how to optimize a distributed microservices architecture using Kubernetes.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Technical,Kubernetes
CAL000101,Q00034,Average,"I can optimize it basically using Kubernetes, but I might struggle with while ensuring 99.99% uptime.",4,"Score 4/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Technical,Kubernetes
CAL000102,Q00034,Strong,"I have deep expertise with Kubernetes. I would optimize a distributed microservices architecture by implementing X and Y, easily handling while ensuring 99.99% uptime through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Technical,Kubernetes
CAL000103,Q00035,Poor,I do not know how to troubleshoot a highly secure payment gateway using Time Management.,1,"Score 1/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,Soft Skills,Time Management
CAL000104,Q00035,Average,"I can troubleshoot it basically using Time Management, but I might struggle with with limited budget for cloud resources.",5,"Score 5/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,Soft Skills,Time Management
CAL000105,Q00035,Strong,"I have deep expertise with Time Management. I would troubleshoot a highly secure payment gateway by implementing X and Y, easily handling with limited budget for cloud resources through Z. We achieved a measurable improvement doing this previously.",8,"Score 8/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,Soft Skills,Time Management
CAL000106,Q00036,Poor,I do not know how to scale a legacy monolithic system using Security.,2,"Score 2/10: Poor understanding, missing all key concepts.",none,none,architectural thinking|specific examples|edge cases,RUB-GEN,System Design,Security
CAL000107,Q00036,Average,"I can scale it basically using Security, but I might struggle with during a major compliance audit.",7,"Score 7/10: Average understanding, covers basics but misses depth.",basic implementation,general concepts,edge cases|failure scenarios,RUB-GEN,System Design,Security
CAL000108,Q00036,Strong,"I have deep expertise with Security. I would scale a legacy monolithic system by implementing X and Y, easily handling during a major compliance audit through Z. We achieved a measurable improvement doing this previously.",10,"Score 10/10: Strong understanding, exceptional depth and metrics.",depth|metrics|trade-offs,"best practices, advanced usage",None,RUB-GEN,System Design,Security
