question_id,question_text,domain,primary_skill,secondary_skills,target_role,seniority_level,difficulty,difficulty_score,bloom_level,question_type,expected_duration_min,esco_code,onet_code,tags,bias_risk_flag,conflict_sensitivity,illegal_question_flag,demographic_sensitivity
Q00012,How would you scale a high-traffic web application using Adaptability with a hard deadline of two weeks? (Variant 12),Soft Skills,Adaptability,Adaptability|Time Management,EXP-PROD-MID,Mid,Expert,5,Analyze,Technical,4,ESCO.199,ONET.774,soft skills|adaptability|expert,Low,Low,False,None
Q00013,How would you scale a legacy monolithic system using Microservices under strict memory constraints? (Variant 13),System Design,Microservices,Database Design|Security,EXP-PROD-JUN,Junior,Expert,5,Understand,Case Study,5,ESCO.385,ONET.573,system design|microservices|expert,Low,Low,False,Gender
Q00014,How would you scale a latency-sensitive trading platform using Communication during a major compliance audit? (Variant 14),Soft Skills,Communication,Time Management|Adaptability,EXP-FRON-JUN,Junior,Medium,3,Analyze,Behavioral,5,ESCO.488,ONET.102,soft skills|communication|medium,High,Low,False,None
Q00015,How would you secure a realtime data pipeline using Conflict Resolution under strict memory constraints? (Variant 15),Soft Skills,Conflict Resolution,Communication|Leadership,EXP-BACK-JUN,Junior,Easy,2,Create,Situational,3,ESCO.151,ONET.698,soft skills|conflict resolution|easy,Low,Low,False,Gender
Q00016,How would you migrate an offline-first mobile app backing service using AWS while maintaining backward compatibility? (Variant 16),Technical,AWS,JavaScript|Node.js,EXP-ML E-JUN,Junior,Easy,2,Evaluate,Technical,12,ESCO.708,ONET.140,technical|aws|easy,Low,Low,False,None
Q00017,How would you refactor a latency-sensitive trading platform using API Design while ensuring 99.99% uptime? (Variant 17),System Design,API Design,Database Design|Scalability,EXP-ML E-SEN,Senior,Hard,4,Remember,Behavioral,10,ESCO.736,ONET.676,system design|api design|hard,High,Low,False,None
Q00018,How would you optimize a latency-sensitive trading platform using Scalability with a hard deadline of two weeks? (Variant 18),System Design,Scalability,Database Design|API Design,EXP-CLOU-SEN,Senior,Hard,4,Evaluate,Behavioral,13,ESCO.936,ONET.667,system design|scalability|hard,Low,Low,False,None
Q00019,How would you debug a high-traffic web application using Security under strict memory constraints? (Variant 19),System Design,Security,Database Design|Scalability,EXP-PROD-JUN,Junior,Hard,4,Evaluate,Case Study,7,ESCO.966,ONET.152,system design|security|hard,Low,Low,False,None
Q00020,How would you secure a realtime data pipeline using Database Design during a major compliance audit? (Variant 20),System Design,Database Design,API Design|Security,EXP-FRON-SEN,Senior,Easy,2,Remember,Behavioral,14,ESCO.252,ONET.658,system design|database design|easy,Low,Low,False,None
Q00021,How would you migrate a realtime data pipeline using Microservices with limited budget for cloud resources? (Variant 21),System Design,Microservices,Scalability|Database Design,EXP-QA E-JUN,Junior,Medium,3,Create,Behavioral,8,ESCO.898,ONET.673,system design|microservices|medium,Medium,Low,False,None
Q00022,How would you scale a distributed microservices architecture using React with limited budget for cloud resources? (Variant 22),Technical,React,Go|SQL,EXP-CLOU-MID,Mid,Medium,3,Apply,Technical,15,ESCO.818,ONET.210,technical|react|medium,Low,Low,False,None
Q00023,How would you secure an offline-first mobile app backing service using Communication under strict memory constraints? (Variant 23),Soft Skills,Communication,Leadership|Communication,EXP-ML E-JUN,Junior,Hard,4,Apply,Behavioral,15,ESCO.385,ONET.459,soft skills|communication|hard,Low,Low,False,None
Q00024,How would you design a distributed microservices architecture using Microservices with a globally distributed team? (Variant 24),System Design,Microservices,Microservices|API Design,EXP-DEVO-SEN,Senior,Hard,4,Analyze,Behavioral,9,ESCO.690,ONET.294,system design|microservices|hard,Low,Low,False,None
Q00025,How would you optimize a distributed microservices architecture using Security during a major compliance audit? (Variant 25),System Design,Security,Scalability|Microservices,EXP-QA E-SEN,Senior,Hard,4,Evaluate,Situational,13,ESCO.518,ONET.434,system design|security|hard,Low,Low,False,None
Q00026,How would you scale a resource-constrained IoT ecosystem using Adaptability with zero downtime? (Variant 26),Soft Skills,Adaptability,Adaptability|Conflict Resolution,EXP-ML E-JUN,Junior,Easy,2,Apply,Situational,6,ESCO.540,ONET.904,soft skills|adaptability|easy,Low,Low,False,None
Q00027,How would you design a distributed microservices architecture using E-commerce with zero downtime? (Variant 27),Domain Knowledge,E-commerce,Fintech|Healthcare,EXP-FRON-MID,Mid,Hard,4,Remember,Technical,13,ESCO.417,ONET.330,domain knowledge|e-commerce|hard,Medium,Low,False,None
Q00028,How would you implement a highly secure payment gateway using EdTech with limited budget for cloud resources? (Variant 28),Domain Knowledge,EdTech,E-commerce|SaaS,EXP-FRON-JUN,Junior,Expert,5,Understand,Technical,13,ESCO.804,ONET.105,domain knowledge|edtech|expert,Medium,Low,False,Age
Q00029,How would you troubleshoot a resource-constrained IoT ecosystem using Leadership while ensuring 99.99% uptime? (Variant 29),Soft Skills,Leadership,Time Management|Communication,EXP-CLOU-MID,Mid,Expert,5,Create,Situational,15,ESCO.553,ONET.727,soft skills|leadership|expert,Medium,Low,False,Age
Q00030,How would you secure a legacy monolithic system using Database Design while ensuring 99.99% uptime? (Variant 30),System Design,Database Design,Scalability|API Design,EXP-BACK-SEN,Senior,Medium,3,Apply,Case Study,4,ESCO.830,ONET.392,system design|database design|medium,Low,Low,False,None
Q00031,How would you migrate a high-traffic web application using Communication during a major compliance audit? (Variant 31),Soft Skills,Communication,Leadership|Time Management,EXP-ML E-MID,Mid,Hard,4,Evaluate,Case Study,9,ESCO.163,ONET.311,soft skills|communication|hard,Medium,Low,False,None
Q00032,How would you troubleshoot a realtime data pipeline using API Design with zero downtime? (Variant 32),System Design,API Design,API Design|Database Design,EXP-FRON-JUN,Junior,Medium,3,Apply,Case Study,10,ESCO.129,ONET.498,system design|api design|medium,Low,Low,False,None
Q00033,How would you troubleshoot a latency-sensitive trading platform using JavaScript during a major compliance audit? (Variant 33),Technical,JavaScript,SQL|React,EXP-ML E-SEN,Senior,Medium,3,Remember,Situational,9,ESCO.435,ONET.316,technical|javascript|medium,Low,Low,False,None
Q00034,How would you optimize a distributed microservices architecture using Kubernetes while ensuring 99.99% uptime? (Variant 34),Technical,Kubernetes,Python|Go,EXP-PROD-MID,Mid,Easy,2,Create,Behavioral,15,ESCO.131,ONET.353,technical|kubernetes|easy,Low,Low,False,None
Q00035,How would you troubleshoot a highly secure payment gateway using Time Management with limited budget for cloud resources? (Variant 35),Soft Skills,Time Management,Conflict Resolution|Adaptability,EXP-DATA-SEN,Senior,Easy,2,Understand,Situational,4,ESCO.692,ONET.126,soft skills|time management|easy,High,Low,False,None
Q00036,How would you scale a legacy monolithic system using Security during a major compliance audit? (Variant 36),System Design,Security,Microservices|Security,EXP-DEVO-SEN,Senior,Expert,5,Create,Situational,4,ESCO.618,ONET.763,system design|security|expert,Low,Low,False,None
Q00037,How would you implement a latency-sensitive trading platform using Time Management with zero downtime? (Variant 37),Soft Skills,Time Management,Communication|Conflict Resolution,EXP-BACK-MID,Mid,Expert,5,Analyze,Case Study,14,ESCO.706,ONET.374,soft skills|time management|expert,Low,Low,False,None
Q00038,How would you debug a high-traffic web application using Healthcare with limited budget for cloud resources? (Variant 38),Domain Knowledge,Healthcare,Fintech|SaaS,EXP-DEVO-MID,Mid,Medium,3,Analyze,Technical,8,ESCO.916,ONET.364,domain knowledge|healthcare|medium,Low,Low,False,Age
Q00039,How would you refactor a latency-sensitive trading platform using SaaS with a globally distributed team? (Variant 39),Domain Knowledge,SaaS,EdTech|E-commerce,EXP-QA E-MID,Mid,Expert,5,Create,Case Study,10,ESCO.911,ONET.117,domain knowledge|saas|expert,Low,Low,False,None
Q00040,How would you optimize a distributed microservices architecture using Scalability with limited budget for cloud resources? (Variant 40),System Design,Scalability,API Design|Scalability,EXP-DEVO-JUN,Junior,Hard,4,Understand,Behavioral,14,ESCO.297,ONET.423,system design|scalability|hard,Low,Low,False,None
Q00041,How would you design a latency-sensitive trading platform using Microservices while ensuring 99.99% uptime? (Variant 41),System Design,Microservices,Database Design|Scalability,EXP-PROD-MID,Mid,Hard,4,Understand,Situational,3,ESCO.825,ONET.646,system design|microservices|hard,Low,Low,False,None
Q00042,How would you troubleshoot a resource-constrained IoT ecosystem using AWS with a hard deadline of two weeks? (Variant 42),Technical,AWS,Java|Docker,EXP-FRON-JUN,Junior,Expert,5,Apply,Technical,3,ESCO.358,ONET.982,technical|aws|expert,Low,Low,False,None
Q00043,How would you troubleshoot a resource-constrained IoT ecosystem using Adaptability with zero downtime? (Variant 43),Soft Skills,Adaptability,Conflict Resolution|Leadership,EXP-PROD-MID,Mid,Easy,2,Evaluate,Case Study,12,ESCO.710,ONET.909,soft skills|adaptability|easy,Low,Low,False,None
Q00044,How would you troubleshoot a resource-constrained IoT ecosystem using AWS with zero downtime? (Variant 44),Technical,AWS,JavaScript|Node.js,EXP-BACK-SEN,Senior,Medium,3,Apply,Behavioral,5,ESCO.345,ONET.277,technical|aws|medium,Low,Low,False,None
Q00045,How would you debug a realtime data pipeline using Scalability with a hard deadline of two weeks? (Variant 45),System Design,Scalability,API Design|Microservices,EXP-QA E-JUN,Junior,Medium,3,Apply,Technical,9,ESCO.217,ONET.657,system design|scalability|medium,Low,Low,False,None
Q00046,How would you design a highly secure payment gateway using API Design with a globally distributed team? (Variant 46),System Design,API Design,Microservices|API Design,EXP-QA E-MID,Mid,Hard,4,Create,Case Study,7,ESCO.612,ONET.652,system design|api design|hard,Low,Low,False,None
Q00047,How would you debug a realtime data pipeline using Node.js during a major compliance audit? (Variant 47),Technical,Node.js,AWS|Python,EXP-CLOU-JUN,Junior,Hard,4,Evaluate,Behavioral,15,ESCO.874,ONET.279,technical|node.js|hard,Low,Low,False,None
Q00048,How would you secure a high-traffic web application using Healthcare with zero downtime? (Variant 48),Domain Knowledge,Healthcare,SaaS|Healthcare,EXP-DEVO-MID,Mid,Easy,2,Understand,Situational,9,ESCO.810,ONET.607,domain knowledge|healthcare|easy,Low,Low,False,Gender
Q00049,How would you scale a high-traffic web application using Microservices with limited budget for cloud resources? (Variant 49),System Design,Microservices,API Design|Microservices,EXP-QA E-JUN,Junior,Expert,5,Analyze,Behavioral,6,ESCO.630,ONET.470,system design|microservices|expert,Low,Low,False,None
Q00050,How would you implement a resource-constrained IoT ecosystem using SaaS with a hard deadline of two weeks? (Variant 50),Domain Knowledge,SaaS,Fintech|EdTech,EXP-BACK-SEN,Senior,Medium,3,Create,Technical,7,ESCO.664,ONET.114,domain knowledge|saas|medium,Low,Low,False,None
Q00051,How would you secure a realtime data pipeline using Security with a hard deadline of two weeks? (Variant 51),System Design,Security,Scalability|API Design,EXP-CLOU-SEN,Senior,Expert,5,Analyze,Technical,10,ESCO.664,ONET.248,system design|security|expert,Low,Low,False,Gender
Q00052,How would you troubleshoot a resource-constrained IoT ecosystem using Microservices with a globally distributed team? (Variant 52),System Design,Microservices,Scalability|Security,EXP-CLOU-SEN,Senior,Expert,5,Understand,Case Study,11,ESCO.595,ONET.453,system design|microservices|expert,Low,Low,False,None
Q00053,How would you scale a high-traffic web application using E-commerce while ensuring 99.99% uptime? (Variant 53),Domain Knowledge,E-commerce,SaaS|Fintech,EXP-DEVO-MID,Mid,Expert,5,Create,Case Study,9,ESCO.779,ONET.911,domain knowledge|e-commerce|expert,Medium,Low,False,Culture
Q00054,How would you troubleshoot a legacy monolithic system using Fintech with a globally distributed team? (Variant 54),Domain Knowledge,Fintech,EdTech|SaaS,EXP-SOFT-JUN,Junior,Medium,3,Analyze,Technical,4,ESCO.580,ONET.900,domain knowledge|fintech|medium,High,Low,False,None
Q00055,How would you scale a realtime data pipeline using EdTech while maintaining backward compatibility? (Variant 55),Domain Knowledge,EdTech,Fintech|EdTech,EXP-PROD-MID,Mid,Hard,4,Understand,Behavioral,9,ESCO.200,ONET.878,domain knowledge|edtech|hard,Low,Low,False,Age
Q00056,How would you migrate a highly secure payment gateway using Java with limited budget for cloud resources? (Variant 56),Technical,Java,Go|AWS,EXP-ML E-MID,Mid,Medium,3,Understand,Case Study,12,ESCO.798,ONET.911,technical|java|medium,Low,Low,False,None
Q00057,How would you migrate a latency-sensitive trading platform using Healthcare during a major compliance audit? (Variant 57),Domain Knowledge,Healthcare,SaaS|Healthcare,EXP-QA E-JUN,Junior,Easy,2,Analyze,Situational,13,ESCO.659,ONET.261,domain knowledge|healthcare|easy,Low,Low,False,Gender
Q00058,How would you troubleshoot a latency-sensitive trading platform using Database Design under strict memory constraints? (Variant 58),System Design,Database Design,API Design|Security,EXP-DATA-JUN,Junior,Medium,3,Analyze,Situational,12,ESCO.402,ONET.816,system design|database design|medium,Low,Low,False,Culture
Q00059,How would you optimize a legacy monolithic system using Healthcare under strict memory constraints? (Variant 59),Domain Knowledge,Healthcare,E-commerce|Healthcare,EXP-PROD-MID,Mid,Medium,3,Evaluate,Situational,13,ESCO.873,ONET.838,domain knowledge|healthcare|medium,Medium,Low,False,None
Q00060,How would you secure a latency-sensitive trading platform using Database Design while ensuring 99.99% uptime? (Variant 60),System Design,Database Design,Microservices|Scalability,EXP-DEVO-MID,Mid,Expert,5,Understand,Technical,5,ESCO.905,ONET.652,system design|database design|expert,Medium,Low,False,None
Q00061,How would you debug a legacy monolithic system using Microservices with zero downtime? (Variant 61),System Design,Microservices,API Design|Microservices,EXP-DATA-MID,Mid,Medium,3,Create,Case Study,15,ESCO.670,ONET.474,system design|microservices|medium,Low,Low,False,None
Q00062,How would you debug a highly secure payment gateway using Healthcare with a hard deadline of two weeks? (Variant 62),Domain Knowledge,Healthcare,Fintech|E-commerce,EXP-FRON-JUN,Junior,Easy,2,Evaluate,Situational,12,ESCO.326,ONET.763,domain knowledge|healthcare|easy,Low,Low,False,None
Q00063,How would you migrate a realtime data pipeline using API Design during a major compliance audit? (Variant 63),System Design,API Design,Microservices|Security,EXP-PROD-MID,Mid,Medium,3,Analyze,Case Study,8,ESCO.786,ONET.860,system design|api design|medium,Low,Low,False,None
Q00064,How would you architect a high-traffic web application using Healthcare during a major compliance audit? (Variant 64),Domain Knowledge,Healthcare,Fintech|Healthcare,EXP-PROD-JUN,Junior,Expert,5,Analyze,Technical,8,ESCO.201,ONET.802,domain knowledge|healthcare|expert,Low,Low,False,Gender
Q00065,How would you refactor a distributed microservices architecture using Fintech with limited budget for cloud resources? (Variant 65),Domain Knowledge,Fintech,E-commerce|Fintech,EXP-SOFT-MID,Mid,Hard,4,Understand,Technical,15,ESCO.678,ONET.310,domain knowledge|fintech|hard,Low,Low,False,None
Q00066,How would you refactor an offline-first mobile app backing service using Java under strict memory constraints? (Variant 66),Technical,Java,React|AWS,EXP-FRON-SEN,Senior,Hard,4,Understand,Behavioral,13,ESCO.987,ONET.126,technical|java|hard,Low,Low,False,None
Q00067,How would you refactor a high-traffic web application using Time Management while maintaining backward compatibility? (Variant 67),Soft Skills,Time Management,Adaptability|Leadership,EXP-QA E-SEN,Senior,Easy,2,Analyze,Case Study,15,ESCO.470,ONET.625,soft skills|time management|easy,Low,Low,False,None
Q00068,How would you migrate an offline-first mobile app backing service using SaaS during a major compliance audit? (Variant 68),Domain Knowledge,SaaS,SaaS|Fintech,EXP-FRON-JUN,Junior,Expert,5,Remember,Behavioral,8,ESCO.722,ONET.251,domain knowledge|saas|expert,Low,Low,False,None
Q00069,How would you architect a highly secure payment gateway using Fintech with a globally distributed team? (Variant 69),Domain Knowledge,Fintech,Fintech|E-commerce,EXP-ML E-MID,Mid,Expert,5,Understand,Case Study,8,ESCO.947,ONET.564,domain knowledge|fintech|expert,Low,Low,False,None
Q00070,How would you design an offline-first mobile app backing service using Time Management with a hard deadline of two weeks? (Variant 70),Soft Skills,Time Management,Leadership|Adaptability,EXP-CLOU-SEN,Senior,Easy,2,Remember,Case Study,4,ESCO.862,ONET.856,soft skills|time management|easy,Low,Low,False,None
Q00071,How would you secure an offline-first mobile app backing service using Fintech with a hard deadline of two weeks? (Variant 71),Domain Knowledge,Fintech,Healthcare|EdTech,EXP-DEVO-SEN,Senior,Easy,2,Evaluate,Technical,5,ESCO.772,ONET.593,domain knowledge|fintech|easy,Low,Low,False,None
Q00072,How would you troubleshoot a legacy monolithic system using AWS while ensuring 99.99% uptime? (Variant 72),Technical,AWS,Java|Python,EXP-DATA-SEN,Senior,Hard,4,Create,Situational,8,ESCO.459,ONET.106,technical|aws|hard,Low,Low,False,None
Q00073,How would you design a realtime data pipeline using Time Management while ensuring 99.99% uptime? (Variant 73),Soft Skills,Time Management,Time Management|Adaptability,EXP-DEVO-MID,Mid,Medium,3,Apply,Situational,14,ESCO.432,ONET.895,soft skills|time management|medium,High,Low,False,None
Q00074,How would you debug a resource-constrained IoT ecosystem using Java while maintaining backward compatibility? (Variant 74),Technical,Java,Docker|SQL,EXP-FRON-JUN,Junior,Expert,5,Analyze,Situational,6,ESCO.873,ONET.624,technical|java|expert,Low,Low,False,None
Q00075,How would you optimize a highly secure payment gateway using Python with limited budget for cloud resources? (Variant 75),Technical,Python,Node.js|Java,EXP-PROD-JUN,Junior,Medium,3,Apply,Situational,8,ESCO.222,ONET.107,technical|python|medium,Low,Low,False,None
Q00076,How would you troubleshoot a high-traffic web application using Fintech with a globally distributed team? (Variant 76),Domain Knowledge,Fintech,SaaS|Fintech,EXP-ML E-SEN,Senior,Easy,2,Apply,Case Study,12,ESCO.514,ONET.826,domain knowledge|fintech|easy,Low,Low,False,None
Q00077,How would you refactor an offline-first mobile app backing service using Microservices while ensuring 99.99% uptime? (Variant 77),System Design,Microservices,API Design|Microservices,EXP-PROD-MID,Mid,Expert,5,Evaluate,Case Study,11,ESCO.180,ONET.505,system design|microservices|expert,Medium,Low,False,None
Q00078,How would you implement a realtime data pipeline using Conflict Resolution with zero downtime? (Variant 78),Soft Skills,Conflict Resolution,Conflict Resolution|Communication,EXP-PROD-MID,Mid,Easy,2,Understand,Situational,6,ESCO.277,ONET.716,soft skills|conflict resolution|easy,Low,Low,False,None
Q00079,How would you debug a resource-constrained IoT ecosystem using Scalability with zero downtime? (Variant 79),System Design,Scalability,Database Design|API Design,EXP-SOFT-SEN,Senior,Expert,5,Analyze,Situational,15,ESCO.381,ONET.705,system design|scalability|expert,Low,Low,False,None
Q00080,How would you scale a legacy monolithic system using Microservices with a globally distributed team? (Variant 80),System Design,Microservices,Microservices|API Design,EXP-ML E-SEN,Senior,Easy,2,Analyze,Technical,8,ESCO.719,ONET.587,system design|microservices|easy,Low,Low,False,Culture
Q00081,How would you design an offline-first mobile app backing service using Leadership with a hard deadline of two weeks? (Variant 81),Soft Skills,Leadership,Communication|Time Management,EXP-ML E-SEN,Senior,Medium,3,Apply,Situational,7,ESCO.496,ONET.518,soft skills|leadership|medium,Medium,Low,False,None
Q00082,How would you migrate a legacy monolithic system using Healthcare while maintaining backward compatibility? (Variant 82),Domain Knowledge,Healthcare,Healthcare|E-commerce,EXP-DEVO-MID,Mid,Easy,2,Evaluate,Technical,8,ESCO.417,ONET.771,domain knowledge|healthcare|easy,Low,Low,False,None
Q00083,How would you scale a distributed microservices architecture using Database Design with limited budget for cloud resources? (Variant 83),System Design,Database Design,Security|Microservices,EXP-BACK-SEN,Senior,Expert,5,Evaluate,Situational,3,ESCO.471,ONET.416,system design|database design|expert,Low,Low,False,None
Q00084,How would you migrate a realtime data pipeline using Microservices with zero downtime? (Variant 84),System Design,Microservices,Security|Microservices,EXP-QA E-JUN,Junior,Hard,4,Evaluate,Technical,12,ESCO.485,ONET.257,system design|microservices|hard,Low,Low,False,None
Q00085,How would you architect a resource-constrained IoT ecosystem using Time Management with zero downtime? (Variant 85),Soft Skills,Time Management,Adaptability|Conflict Resolution,EXP-CLOU-JUN,Junior,Expert,5,Understand,Technical,7,ESCO.928,ONET.903,soft skills|time management|expert,Low,Low,False,None
Q00086,How would you implement a latency-sensitive trading platform using E-commerce with a hard deadline of two weeks? (Variant 86),Domain Knowledge,E-commerce,E-commerce|EdTech,EXP-PROD-SEN,Senior,Easy,2,Create,Case Study,8,ESCO.667,ONET.205,domain knowledge|e-commerce|easy,Medium,Low,False,None
Q00087,How would you implement an offline-first mobile app backing service using Time Management with limited budget for cloud resources? (Variant 87),Soft Skills,Time Management,Leadership|Communication,EXP-CLOU-SEN,Senior,Expert,5,Apply,Behavioral,9,ESCO.154,ONET.505,soft skills|time management|expert,Low,Low,False,None
Q00088,How would you implement a high-traffic web application using Database Design while maintaining backward compatibility? (Variant 88),System Design,Database Design,Database Design|Microservices,EXP-DEVO-JUN,Junior,Expert,5,Create,Technical,15,ESCO.822,ONET.580,system design|database design|expert,Low,Low,False,None
Q00089,How would you scale a high-traffic web application using Fintech with limited budget for cloud resources? (Variant 89),Domain Knowledge,Fintech,Healthcare|E-commerce,EXP-DEVO-JUN,Junior,Easy,2,Remember,Technical,9,ESCO.754,ONET.912,domain knowledge|fintech|easy,Low,Low,False,None
Q00090,How would you secure a high-traffic web application using Fintech during a major compliance audit? (Variant 90),Domain Knowledge,Fintech,EdTech|Healthcare,EXP-PROD-MID,Mid,Expert,5,Understand,Behavioral,11,ESCO.469,ONET.169,domain knowledge|fintech|expert,High,Low,False,None
Q00091,How would you architect a realtime data pipeline using Healthcare under strict memory constraints? (Variant 91),Domain Knowledge,Healthcare,Healthcare|Fintech,EXP-DEVO-SEN,Senior,Easy,2,Apply,Technical,14,ESCO.772,ONET.743,domain knowledge|healthcare|easy,Low,Low,False,None
Q00092,How would you design an offline-first mobile app backing service using Time Management while maintaining backward compatibility? (Variant 92),Soft Skills,Time Management,Time Management|Communication,EXP-CLOU-MID,Mid,Medium,3,Remember,Case Study,3,ESCO.400,ONET.306,soft skills|time management|medium,Low,Low,False,None
Q00093,How would you scale a highly secure payment gateway using Healthcare with a globally distributed team? (Variant 93),Domain Knowledge,Healthcare,Fintech|E-commerce,EXP-DEVO-JUN,Junior,Hard,4,Remember,Situational,7,ESCO.227,ONET.918,domain knowledge|healthcare|hard,Low,Low,False,Age
Q00094,How would you debug an offline-first mobile app backing service using Healthcare with a hard deadline of two weeks? (Variant 94),Domain Knowledge,Healthcare,EdTech|Healthcare,EXP-CLOU-MID,Mid,Easy,2,Create,Case Study,4,ESCO.540,ONET.716,domain knowledge|healthcare|easy,High,Low,False,None
Q00095,How would you troubleshoot a latency-sensitive trading platform using Scalability under strict memory constraints? (Variant 95),System Design,Scalability,API Design|Security,EXP-DATA-SEN,Senior,Expert,5,Apply,Case Study,3,ESCO.844,ONET.990,system design|scalability|expert,High,Low,False,None
Q00096,How would you design a realtime data pipeline using Leadership with zero downtime? (Variant 96),Soft Skills,Leadership,Communication|Time Management,EXP-SOFT-MID,Mid,Medium,3,Remember,Technical,15,ESCO.760,ONET.475,soft skills|leadership|medium,Low,Low,False,Gender
Q00097,How would you troubleshoot a legacy monolithic system using AWS while maintaining backward compatibility? (Variant 97),Technical,AWS,React|Kubernetes,EXP-DEVO-SEN,Senior,Expert,5,Apply,Situational,6,ESCO.216,ONET.126,technical|aws|expert,Medium,Low,False,None
Q00098,How would you architect an offline-first mobile app backing service using API Design with a hard deadline of two weeks? (Variant 98),System Design,API Design,Database Design|Microservices,EXP-DATA-MID,Mid,Easy,2,Analyze,Technical,14,ESCO.555,ONET.189,system design|api design|easy,Medium,Low,False,Culture
Q00099,How would you scale a realtime data pipeline using Communication with a hard deadline of two weeks? (Variant 99),Soft Skills,Communication,Conflict Resolution|Communication,EXP-DATA-JUN,Junior,Medium,3,Understand,Technical,15,ESCO.605,ONET.126,soft skills|communication|medium,Low,Low,False,None
Q00100,How would you optimize a realtime data pipeline using EdTech while ensuring 99.99% uptime? (Variant 100),Domain Knowledge,EdTech,SaaS|EdTech,EXP-CLOU-SEN,Senior,Easy,2,Understand,Situational,13,ESCO.175,ONET.560,domain knowledge|edtech|easy,Low,Low,False,None
Q00101,How would you optimize a latency-sensitive trading platform using Conflict Resolution with a hard deadline of two weeks? (Variant 101),Soft Skills,Conflict Resolution,Communication|Adaptability,EXP-DEVO-MID,Mid,Medium,3,Apply,Situational,4,ESCO.356,ONET.301,soft skills|conflict resolution|medium,Low,Low,False,None
Q00102,How would you migrate a highly secure payment gateway using Communication under strict memory constraints? (Variant 102),Soft Skills,Communication,Adaptability|Conflict Resolution,EXP-CLOU-SEN,Senior,Easy,2,Remember,Behavioral,3,ESCO.756,ONET.889,soft skills|communication|easy,Low,Low,False,None
Q00103,How would you migrate a realtime data pipeline using API Design with a globally distributed team? (Variant 103),System Design,API Design,Database Design|API Design,EXP-DEVO-JUN,Junior,Expert,5,Remember,Behavioral,5,ESCO.550,ONET.525,system design|api design|expert,Low,Low,False,None
